;id;dish_id;sale_id;quantity
10127;256;57;128;3
10128;257;34;129;1
128;258;7;129;1
129;259;13;130;3
10129;260;32;130;2
130;261;6;131;3
10130;262;33;131;3
131;263;59;132;3
10131;264;20;132;1
10132;265;37;133;2
132;266;4;133;3
133;267;53;134;1
10133;268;32;134;2
134;269;36;135;2
10134;270;14;135;1
135;271;55;136;3
10135;272;17;136;3
136;273;2;137;3
10136;274;18;137;3
10137;275;41;138;1
137;276;65;138;1
10138;277;4;139;3
138;278;35;139;3
139;279;4;140;2
10139;280;43;140;1
10140;281;24;141;3
140;282;7;141;3
141;283;60;142;2
10141;284;4;142;3
142;285;35;143;2
10142;286;60;143;2
143;287;38;144;1
10143;288;4;144;3
144;289;33;145;3
10144;290;26;145;2
145;291;71;146;1
10145;292;54;146;3
146;293;33;147;2
10146;294;35;147;2
147;295;22;148;3
10147;296;8;148;3
10148;297;45;149;2
148;298;19;149;2
149;299;50;150;2
10149;300;55;150;3
150;301;38;151;1
10150;302;58;151;1
151;303;64;152;3
10151;304;62;152;3
152;305;21;153;2
10152;306;44;153;3
153;307;28;154;3
10153;308;39;154;1
10154;309;62;155;2
154;310;63;155;1
10155;311;65;156;2
155;312;52;156;2
156;313;45;157;3
10156;314;50;157;1
157;315;15;158;1
10157;316;40;158;1
10158;317;50;159;2
158;318;57;159;2
10159;319;15;160;3
159;320;70;160;3
10160;321;69;161;3
160;322;54;161;3
161;323;9;162;1
10161;324;22;162;3
162;325;18;163;2
10162;326;12;163;1
10163;327;13;164;1
163;328;58;164;1
10164;329;27;165;3
164;330;62;165;1
10165;331;33;166;2
165;332;28;166;3
166;333;32;167;2
10166;334;28;167;2
167;335;1;168;2
10167;336;31;168;3
168;337;23;169;2
10168;338;5;169;1
169;339;12;170;1
10169;340;19;170;2
170;341;67;171;3
10170;342;3;171;2
171;343;2;172;2
10171;344;43;172;3
172;345;28;173;2
10172;346;71;173;2
173;347;2;174;1
10173;348;39;174;1
10174;349;60;175;2
174;350;26;175;1
10175;351;51;176;3
175;352;12;176;3
10176;353;71;177;1
176;354;31;177;3
10177;355;11;178;3
177;356;24;178;1
178;357;25;179;3
10178;358;13;179;1
179;359;50;180;3
10179;360;47;180;1
180;361;45;181;1
10180;362;61;181;3
10181;363;28;182;2
181;364;68;182;2
182;365;4;183;2
10182;366;71;183;2
10183;367;56;184;3
183;368;66;184;2
10184;369;8;185;1
184;370;15;185;3
185;371;21;186;2
10185;372;43;186;2
10186;373;20;187;3
186;374;4;187;3
187;375;43;188;2
10187;376;8;188;2
10188;377;48;189;3
188;378;54;189;2
189;379;26;190;3
10189;380;24;190;2
10190;381;11;191;2
190;382;17;191;3
191;383;27;192;3
10191;384;5;192;2
10192;385;42;193;2
192;386;15;193;2
193;387;63;194;3
10193;388;19;194;2
194;389;38;195;3
10194;390;12;195;3
195;391;60;196;3
10195;392;28;196;3
196;393;51;197;3
10196;394;20;197;3
197;395;18;198;1
10197;396;45;198;3
198;397;67;199;1
10198;398;46;199;3
10199;399;57;200;1
199;400;6;200;2
200;401;48;201;2
10200;402;27;201;1
201;403;25;202;1
10201;404;29;202;3
202;405;12;203;3
10202;406;38;203;1
10203;407;9;204;2
203;408;3;204;3
204;409;61;205;2
10204;410;13;205;1
205;411;71;206;2
10205;412;53;206;3
206;413;18;207;1
10206;414;52;207;2
207;415;41;208;1
10207;416;51;208;2
208;417;22;209;2
10208;418;34;209;3
10209;419;40;210;2
209;420;58;210;1
210;421;3;211;2
10210;422;34;211;2
10211;423;26;212;3
211;424;35;212;2
212;425;22;213;2
10212;426;32;213;1
213;427;27;214;1
10213;428;56;214;3
10214;429;31;215;3
214;430;15;215;1
10215;431;13;216;3
215;432;8;216;2
10216;433;59;217;2
216;434;62;217;2
217;435;55;218;2
10217;436;32;218;1
10218;437;41;219;1
218;438;13;219;2
219;439;67;220;1
10219;440;39;220;2
10220;441;26;221;2
220;442;1;221;1
10221;443;16;222;1
221;444;69;222;1
10222;445;14;223;3
222;446;45;223;3
223;447;67;224;1
10223;448;9;224;1
224;449;66;225;1
10224;450;19;225;1
225;451;27;226;3
10225;452;45;226;1
10226;453;8;227;1
226;454;67;227;2
227;455;31;228;3
10227;456;8;228;2
228;457;18;229;2
10228;458;5;229;1
10229;459;5;230;3
229;460;53;230;1
230;461;31;231;3
10230;462;29;231;3
231;463;47;232;3
10231;464;5;232;3
10232;465;24;233;1
232;466;23;233;2
233;467;48;234;1
10233;468;50;234;3
10234;469;50;235;3
234;470;50;235;1
10235;471;1;236;2
235;472;54;236;1
10236;473;50;237;2
236;474;16;237;3
237;475;35;238;3
10237;476;38;238;2
238;477;70;239;1
10238;478;1;239;3
239;479;71;240;2
10239;480;4;240;2
10240;481;71;241;1
240;482;33;241;3
10241;483;14;242;1
241;484;11;242;3
10242;485;71;243;2
242;486;33;243;2
10243;487;3;244;2
243;488;26;244;2
244;489;26;245;2
10244;490;22;245;3
10245;491;42;246;3
245;492;16;246;3
10246;493;56;247;3
246;494;28;247;3
10247;495;33;248;1
247;496;16;248;1
10248;497;40;249;1
248;498;13;249;2
249;499;35;250;3
10249;500;36;250;3
10250;501;66;251;3
250;502;69;251;1
251;503;28;252;1
10251;504;19;252;2
10252;505;44;253;3
252;506;16;253;2
10253;507;12;254;2
253;508;67;254;3
10254;509;64;255;2
254;510;27;255;1
10255;511;18;256;2
255;512;69;256;2
10256;513;60;257;1
256;514;42;257;2
257;515;51;258;1
10257;516;33;258;1
258;517;12;259;2
10258;518;39;259;2
10259;519;45;260;3
259;520;57;260;1
260;521;68;261;2
10260;522;48;261;3
10261;523;50;262;3
261;524;70;262;1
262;525;24;263;2
10262;526;44;263;2
263;527;17;264;2
10263;528;54;264;3
10264;529;53;265;3
264;530;8;265;1
10265;531;65;266;3
265;532;63;266;3
10266;533;30;267;1
266;534;37;267;2
10267;535;66;268;3
267;536;65;268;2
10268;537;22;269;3
268;538;38;269;1
269;539;47;270;3
10269;540;38;270;2
10270;541;20;271;2
270;542;54;271;3
271;543;45;272;2
10271;544;18;272;3
272;545;5;273;1
10272;546;62;273;3
273;547;11;274;2
10273;548;66;274;2
10274;549;54;275;3
274;550;7;275;1
10275;551;17;276;2
275;552;21;276;1
10276;553;32;277;1
276;554;27;277;2
277;555;55;278;3
10277;556;68;278;2
278;557;14;279;3
10278;558;46;279;1
10279;559;56;280;3
279;560;38;280;3
10280;561;18;281;3
280;562;21;281;1
10281;563;33;282;3
281;564;46;282;3
10282;565;38;283;2
282;566;62;283;3
10283;567;12;284;3
283;568;51;284;2
10284;569;36;285;3
284;570;57;285;1
285;571;34;286;3
10285;572;4;286;2
286;573;56;287;3
10286;574;68;287;1
10287;575;5;288;2
287;576;70;288;1
288;577;39;289;1
10288;578;48;289;1
289;579;17;290;3
10289;580;26;290;2
290;581;25;291;3
10290;582;1;291;1
291;583;10;292;3
10291;584;49;292;2
292;585;56;293;2
10292;586;21;293;3
293;587;37;294;2
10293;588;65;294;2
10294;589;5;295;3
294;590;67;295;2
10295;591;12;296;2
295;592;49;296;1
10296;593;9;297;2
296;594;67;297;3
10297;595;26;298;1
297;596;10;298;1
10298;597;66;299;2
298;598;26;299;2
299;599;39;300;2
10299;600;40;300;1
300;601;36;301;2
10300;602;47;301;2
301;603;64;302;3
10301;604;23;302;1
10302;605;46;303;2
302;606;59;303;1
10303;607;17;304;2
303;608;69;304;1
304;609;52;305;3
10304;610;17;305;3
10305;611;61;306;3
305;612;9;306;3
10306;613;13;307;2
306;614;70;307;3
10307;615;51;308;1
307;616;66;308;1
10308;617;3;309;1
308;618;9;309;1
10309;619;24;310;2
309;620;25;310;3
10310;621;39;311;3
310;622;49;311;2
311;623;42;312;1
10311;624;64;312;3
10312;625;62;313;3
312;626;14;313;2
313;627;55;314;2
10313;628;17;314;3
314;629;9;315;1
10314;630;30;315;3
315;631;38;316;3
10315;632;37;316;3
316;633;9;317;1
10316;634;3;317;3
317;635;49;318;1
10317;636;57;318;1
318;637;28;319;3
10318;638;71;319;2
319;639;16;320;2
10319;640;38;320;1
320;641;41;321;1
10320;642;42;321;3
10321;643;53;322;3
321;644;31;322;1
322;645;67;323;1
10322;646;16;323;3
10323;647;70;324;1
323;648;27;324;1
10324;649;46;325;3
324;650;21;325;3
325;651;71;326;3
10325;652;17;326;1
10326;653;33;327;1
326;654;5;327;2
10327;655;4;328;2
327;656;11;328;1
328;657;14;329;3
10328;658;35;329;3
329;659;58;330;1
10329;660;38;330;3
330;661;34;331;1
10330;662;27;331;1
10331;663;62;332;3
331;664;65;332;1
332;665;15;333;2
10332;666;5;333;2
10333;667;50;334;3
333;668;50;334;1
334;669;31;335;2
10334;670;68;335;1
10335;671;43;336;3
335;672;19;336;2
336;673;28;337;1
10336;674;8;337;1
337;675;7;338;3
10337;676;3;338;1
10338;677;22;339;2
338;678;49;339;1
339;679;21;340;1
10339;680;45;340;1
340;681;27;341;1
10340;682;7;341;2
10341;683;69;342;2
341;684;64;342;1
342;685;34;343;1
10342;686;6;343;2
343;687;2;344;1
10343;688;1;344;3
344;689;53;345;2
10344;690;19;345;2
345;691;11;346;1
10345;692;40;346;3
346;693;71;347;1
10346;694;68;347;3
347;695;1;348;1
10347;696;69;348;1
348;697;69;349;3
10348;698;30;349;1
349;699;53;350;3
10349;700;62;350;2
350;701;18;351;3
10350;702;26;351;1
10351;703;36;352;2
351;704;13;352;3
10352;705;58;353;2
352;706;43;353;3
353;707;63;354;2
10353;708;6;354;2
10354;709;30;355;1
354;710;28;355;3
355;711;33;356;3
10355;712;9;356;2
10356;713;8;357;1
356;714;43;357;2
357;715;38;358;1
10357;716;25;358;3
358;717;9;359;3
10358;718;44;359;1
10359;719;56;360;2
359;720;70;360;3
10360;721;12;361;1
360;722;63;361;2
361;723;6;362;1
10361;724;2;362;1
10362;725;16;363;1
362;726;23;363;2
363;727;54;364;1
10363;728;12;364;3
10364;729;12;365;3
364;730;61;365;3
10365;731;5;366;2
365;732;29;366;1
10366;733;57;367;1
366;734;66;367;2
10367;735;26;368;2
367;736;30;368;1
10368;737;46;369;3
368;738;35;369;1
10369;739;13;370;3
369;740;23;370;1
370;741;38;371;3
10370;742;56;371;3
10371;743;39;372;2
371;744;63;372;3
372;745;12;373;2
10372;746;54;373;3
373;747;12;374;2
10373;748;65;374;2
374;749;49;375;2
10374;750;9;375;2
375;751;53;376;1
10375;752;47;376;2
376;753;55;377;2
10376;754;38;377;1
377;755;50;378;1
10377;756;58;378;1
378;757;56;379;3
10378;758;70;379;1
10379;759;6;380;1
379;760;25;380;3
380;761;20;381;3
10380;762;63;381;2
10381;763;25;382;2
381;764;16;382;3
10382;765;6;383;3
382;766;35;383;3
10383;767;48;384;3
383;768;24;384;1
10384;769;25;385;1
384;770;1;385;2
10385;771;7;386;2
385;772;14;386;1
10386;773;52;387;1
386;774;18;387;3
10387;775;19;388;3
387;776;53;388;2
388;777;42;389;3
10388;778;7;389;2
389;779;20;390;3
10389;780;4;390;3
10390;781;19;391;2
390;782;40;391;1
10391;783;16;392;2
391;784;36;392;1
10392;785;3;393;1
392;786;48;393;3
393;787;8;394;2
10393;788;63;394;2
394;789;71;395;2
10394;790;4;395;3
10395;791;18;396;2
395;792;40;396;3
396;793;16;397;2
10396;794;24;397;1
10397;795;6;398;1
397;796;23;398;3
10398;797;64;399;2
398;798;21;399;2
10399;799;69;400;1
399;800;38;400;3
10400;801;51;401;2
400;802;17;401;3
10401;803;24;402;3
401;804;68;402;1
10402;805;25;403;1
402;806;7;403;1
10403;807;14;404;3
403;808;60;404;3
10404;809;3;405;3
404;810;26;405;1
405;811;23;406;2
10405;812;37;406;2
10406;813;70;407;3
406;814;59;407;3
407;815;24;408;1
10407;816;9;408;2
408;817;63;409;3
10408;818;28;409;3
409;819;23;410;2
10409;820;2;410;3
10410;821;59;411;1
410;822;7;411;3
411;823;14;412;2
10411;824;61;412;2
412;825;29;413;2
10412;826;32;413;3
413;827;26;414;3
10413;828;26;414;2
414;829;59;415;2
10414;830;31;415;2
415;831;61;416;3
10415;832;33;416;2
10416;833;31;417;1
416;834;54;417;3
417;835;7;418;3
10417;836;63;418;3
418;837;52;419;2
10418;838;7;419;3
419;839;17;420;3
10419;840;36;420;2
10420;841;35;421;1
420;842;33;421;2
421;843;64;422;3
10421;844;57;422;3
422;845;63;423;3
10422;846;67;423;3
423;847;21;424;3
10423;848;3;424;3
424;849;17;425;1
10424;850;9;425;2
10425;851;65;426;1
425;852;61;426;2
10426;853;49;427;3
426;854;8;427;1
427;855;28;428;1
10427;856;22;428;2
10428;857;52;429;1
428;858;31;429;1
429;859;35;430;1
10429;860;69;430;2
430;861;30;431;2
10430;862;14;431;2
431;863;42;432;3
10431;864;41;432;2
432;865;55;433;3
10432;866;6;433;2
433;867;47;434;3
10433;868;46;434;1
434;869;60;435;1
10434;870;59;435;3
435;871;42;436;3
10435;872;68;436;2
10436;873;49;437;2
436;874;61;437;3
437;875;18;438;1
10437;876;22;438;1
438;877;42;439;3
10438;878;4;439;1
439;879;56;440;3
10439;880;17;440;2
440;881;68;441;2
10440;882;64;441;1
441;883;5;442;2
10441;884;69;442;1
10442;885;6;443;2
442;886;29;443;1
10443;887;3;444;3
443;888;5;444;3
444;889;48;445;2
10444;890;2;445;1
445;891;9;446;1
10445;892;70;446;1
10446;893;40;447;1
446;894;57;447;1
447;895;69;448;3
10447;896;43;448;2
10448;897;10;449;1
448;898;70;449;1
449;899;3;450;1
10449;900;70;450;2
450;901;56;451;3
10450;902;33;451;1
451;903;55;452;1
10451;904;17;452;2
452;905;25;453;1
10452;906;31;453;2
453;907;62;454;2
10453;908;28;454;1
10454;909;39;455;1
454;910;70;455;2
10455;911;56;456;1
455;912;20;456;3
456;913;30;457;3
10456;914;41;457;3
10457;915;29;458;3
457;916;42;458;3
10458;917;71;459;3
458;918;69;459;1
10459;919;60;460;1
459;920;8;460;3
10460;921;5;461;2
460;922;3;461;2
10461;923;33;462;2
461;924;64;462;2
10462;925;28;463;2
462;926;49;463;2
10463;927;59;464;3
463;928;16;464;3
464;929;8;465;2
10464;930;41;465;1
10465;931;69;466;1
465;932;38;466;2
10466;933;61;467;1
466;934;29;467;2
467;935;68;468;1
10467;936;48;468;1
10468;937;6;469;3
468;938;22;469;2
10469;939;28;470;3
469;940;37;470;2
10470;941;14;471;1
470;942;61;471;1
10471;943;4;472;3
471;944;66;472;2
10472;945;27;473;2
472;946;15;473;3
473;947;59;474;2
10473;948;58;474;1
10474;949;4;475;2
474;950;41;475;2
10475;951;29;476;2
475;952;68;476;2
476;953;49;477;3
10476;954;14;477;3
477;955;8;478;3
10477;956;1;478;2
478;957;27;479;2
10478;958;65;479;1
479;959;10;480;1
10479;960;13;480;3
480;961;33;481;2
10480;962;6;481;3
481;963;46;482;3
10481;964;55;482;1
10482;965;38;483;1
482;966;52;483;2
10483;967;11;484;2
483;968;46;484;2
484;969;25;485;3
10484;970;24;485;3
485;971;47;486;1
10485;972;67;486;3
10486;973;32;487;3
486;974;15;487;2
10487;975;14;488;1
487;976;66;488;2
488;977;59;489;3
10488;978;14;489;1
10489;979;65;490;1
489;980;59;490;3
10490;981;58;491;1
490;982;39;491;1
491;983;38;492;1
10491;984;40;492;1
10492;985;39;493;2
492;986;6;493;1
10493;987;7;494;3
493;988;65;494;3
494;989;30;495;2
10494;990;19;495;2
10495;991;13;496;2
495;992;3;496;1
10496;993;49;497;3
496;994;26;497;1
10497;995;27;498;3
497;996;58;498;1
498;997;55;499;3
10498;998;67;499;1
499;999;8;500;1
10499;1000;20;500;2
500;1001;60;501;3
10500;1002;46;501;1
10501;1003;36;502;1
501;1004;71;502;2
502;1005;49;503;2
10502;1006;52;503;3
503;1007;49;504;1
10503;1008;59;504;2
504;1009;47;505;1
10504;1010;6;505;3
10505;1011;9;506;3
505;1012;11;506;1
506;1013;50;507;3
10506;1014;61;507;3
507;1015;9;508;1
10507;1016;17;508;2
508;1017;29;509;2
10508;1018;58;509;1
509;1019;16;510;3
10509;1020;50;510;1
10510;1021;11;511;2
510;1022;26;511;2
511;1023;14;512;1
10511;1024;21;512;1
10512;1025;40;513;3
512;1026;1;513;1
10513;1027;5;514;3
513;1028;44;514;1
514;1029;63;515;3
10514;1030;64;515;3
515;1031;17;516;2
10515;1032;28;516;2
10516;1033;56;517;1
516;1034;16;517;1
517;1035;53;518;2
10517;1036;17;518;3
518;1037;60;519;1
10518;1038;35;519;1
519;1039;55;520;1
10519;1040;14;520;2
10520;1041;61;521;3
520;1042;51;521;1
521;1043;11;522;1
10521;1044;21;522;3
522;1045;60;523;2
10522;1046;66;523;1
10523;1047;15;524;3
523;1048;42;524;3
10524;1049;63;525;3
524;1050;44;525;3
10525;1051;55;526;2
525;1052;32;526;1
526;1053;57;527;1
10526;1054;57;527;2
527;1055;35;528;1
10527;1056;47;528;1
528;1057;16;529;2
10528;1058;69;529;3
529;1059;26;530;1
10529;1060;31;530;1
530;1061;5;531;3
10530;1062;30;531;1
10531;1063;22;532;2
531;1064;49;532;3
532;1065;3;533;2
10532;1066;18;533;2
10533;1067;37;534;1
533;1068;46;534;2
10534;1069;66;535;1
534;1070;27;535;1
10535;1071;21;536;3
535;1072;10;536;2
536;1073;47;537;3
10536;1074;26;537;1
10537;1075;39;538;2
537;1076;11;538;2
538;1077;36;539;3
10538;1078;33;539;3
539;1079;56;540;1
10539;1080;50;540;2
10540;1081;56;541;2
540;1082;60;541;2
10541;1083;31;542;1
541;1084;26;542;3
10542;1085;66;543;3
542;1086;17;543;3
543;1087;56;544;3
10543;1088;40;544;3
544;1089;34;545;1
10544;1090;54;545;1
545;1091;5;546;3
10545;1092;1;546;3
10546;1093;65;547;2
546;1094;35;547;1
10547;1095;37;548;1
547;1096;18;548;3
548;1097;31;549;2
10548;1098;67;549;2
549;1099;28;550;2
10549;1100;68;550;1
10550;1101;57;551;1
550;1102;4;551;2
10551;1103;42;552;3
551;1104;30;552;3
552;1105;26;553;1
10552;1106;65;553;2
553;1107;20;554;1
10553;1108;17;554;3
554;1109;40;555;1
10554;1110;61;555;2
10555;1111;4;556;3
555;1112;39;556;1
556;1113;1;557;2
10556;1114;27;557;1
10557;1115;38;558;3
557;1116;42;558;1
558;1117;37;559;3
10558;1118;10;559;2
559;1119;67;560;2
10559;1120;29;560;2
560;1121;59;561;1
10560;1122;21;561;2
10561;1123;28;562;3
561;1124;44;562;3
562;1125;27;563;2
10562;1126;35;563;1
563;1127;70;564;1
10563;1128;1;564;1
10564;1129;38;565;1
564;1130;56;565;3
10565;1131;33;566;3
565;1132;9;566;3
10566;1133;8;567;3
566;1134;64;567;1
10567;1135;46;568;1
567;1136;61;568;1
10568;1137;16;569;1
568;1138;27;569;2
10569;1139;55;570;2
569;1140;29;570;1
570;1141;7;571;3
10570;1142;21;571;3
571;1143;4;572;2
10571;1144;10;572;2
10572;1145;61;573;3
572;1146;29;573;3
10573;1147;53;574;3
573;1148;68;574;2
10574;1149;19;575;1
574;1150;34;575;2
10575;1151;58;576;2
575;1152;61;576;1
576;1153;7;577;2
10576;1154;17;577;3
577;1155;70;578;3
10577;1156;7;578;3
578;1157;23;579;3
10578;1158;42;579;2
579;1159;57;580;1
10579;1160;35;580;2
580;1161;40;581;1
10580;1162;5;581;1
581;1163;7;582;1
10581;1164;63;582;2
582;1165;47;583;1
10582;1166;49;583;2
10583;1167;5;584;2
583;1168;17;584;3
10584;1169;6;585;2
584;1170;29;585;1
10585;1171;33;586;2
585;1172;50;586;2
586;1173;21;587;1
10586;1174;54;587;3
587;1175;21;588;3
10587;1176;32;588;1
588;1177;9;589;1
10588;1178;39;589;3
10589;1179;31;590;3
589;1180;23;590;2
590;1181;62;591;1
10590;1182;70;591;2
10591;1183;6;592;3
591;1184;10;592;1
10592;1185;35;593;1
592;1186;5;593;3
10593;1187;69;594;2
593;1188;56;594;2
594;1189;26;595;3
10594;1190;41;595;3
595;1191;8;596;2
10595;1192;16;596;1
596;1193;11;597;1
10596;1194;30;597;3
10597;1195;69;598;2
597;1196;53;598;3
10598;1197;50;599;2
598;1198;24;599;2
10599;1199;14;600;2
599;1200;44;600;2
600;1201;6;601;2
10600;1202;28;601;2
601;1203;59;602;1
10601;1204;37;602;2
602;1205;64;603;1
10602;1206;18;603;3
10603;1207;56;604;1
603;1208;16;604;3
10604;1209;45;605;1
604;1210;23;605;2
10605;1211;35;606;2
605;1212;38;606;2
606;1213;63;607;2
10606;1214;8;607;2
10607;1215;17;608;3
607;1216;13;608;2
608;1217;67;609;3
10608;1218;2;609;2
10609;1219;37;610;1
609;1220;27;610;1
10610;1221;14;611;2
610;1222;53;611;1
10611;1223;50;612;1
611;1224;1;612;2
10612;1225;31;613;1
612;1226;53;613;1
613;1227;27;614;2
10613;1228;22;614;1
614;1229;61;615;3
10614;1230;15;615;2
10615;1231;22;616;2
615;1232;61;616;2
616;1233;67;617;1
10616;1234;52;617;2
10617;1235;31;618;1
617;1236;60;618;3
618;1237;39;619;3
10618;1238;69;619;3
619;1239;5;620;1
10619;1240;1;620;3
620;1241;68;621;2
10620;1242;4;621;2
10621;1243;6;622;3
621;1244;66;622;1
622;1245;58;623;1
10622;1246;68;623;1
10623;1247;17;624;3
623;1248;48;624;1
10624;1249;39;625;2
624;1250;38;625;3
10625;1251;42;626;3
625;1252;37;626;3
10626;1253;46;627;2
626;1254;68;627;3
10627;1255;41;628;3
627;1256;32;628;3
628;1257;43;629;1
10628;1258;56;629;1
10629;1259;64;630;1
629;1260;45;630;3
630;1261;63;631;2
10630;1262;53;631;3
10631;1263;20;632;1
631;1264;58;632;1
632;1265;36;633;1
10632;1266;16;633;1
633;1267;29;634;3
10633;1268;44;634;1
634;1269;67;635;1
10634;1270;57;635;2
10635;1271;56;636;2
635;1272;6;636;1
636;1273;54;637;1
10636;1274;19;637;1
637;1275;42;638;1
10637;1276;54;638;1
638;1277;7;639;1
10638;1278;7;639;1
639;1279;15;640;2
10639;1280;2;640;2
640;1281;66;641;1
10640;1282;59;641;3
10641;1283;13;642;1
641;1284;12;642;1
642;1285;36;643;2
10642;1286;9;643;1
10643;1287;71;644;1
643;1288;65;644;2
644;1289;46;645;3
10644;1290;49;645;2
10645;1291;63;646;1
645;1292;43;646;2
10646;1293;63;647;3
646;1294;26;647;3
647;1295;17;648;3
10647;1296;16;648;3
10648;1297;70;649;2
648;1298;44;649;3
10649;1299;52;650;2
649;1300;68;650;2
10650;1301;55;651;1
