id;name_dish;description_dish;category;price;id_restaurant
19;Chicken Caesar Wrap;Wrap de pollo a la parrilla, lechuga, tomate, queso parmesano y aderezo Caesar.;Sándwich;9.99;6
20;Double Cheeseburger;Hamburguesa doble con queso cheddar fundido, pepinillos y salsa especial.;Hamburguesa;11.99;7
21;Bacon Mushroom Melt;Hamburguesa con tocino crujiente, champiñones salteados y queso suizo fundido.;Hamburguesa;12.99;7
22;Avocado Turkey Burger;Hamburguesa de pavo jugosa con aguacate, lechuga, tomate y mayonesa.;Hamburguesa;10.99;7
23;Sashimi Deluxe;Selección de pescado crudo fresco en finas lonchas, servido con salsa de soja y wasabi.;Sushi;18.99;8
24;California Roll;Roll clásico de sushi con cangrejo de imitación, aguacate y pepino.;Sushi;9.99;8
25;Dragon Roll;Roll de sushi con langostinos tempura, aguacate y salsa de anguila.;Sushi;14.99;8
26;Spaghetti Bolognese;Spaghetti con salsa de carne a la boloñesa y queso parmesano rallado.;Pasta;11.99;9
27;Lasagna Classica;Lasaña casera con capas de pasta, carne, salsa de tomate y queso gratinado.;Pasta;13.99;9
28;Gnocchi al Pesto;Gnocchi caseros con salsa de pesto fresco, piñones y queso parmesano.;Pasta;12.99;9
29;Roasted Chicken;Pollo asado jugoso acompañado de puré de papas y vegetales asados.;Plato Principal;13.99;10
30;Honey Mustard Chicken;Pechuga de pollo a la parrilla con salsa de mostaza y miel, servida con arroz.;Plato Principal;12.99;10
31;Chicken Caesar Salad;Ensalada César con pollo a la parrilla, lechuga romana, queso parmesano y aderezo Caesar.;Ensalada;10.99;10
32;BBQ Bacon Burger;Hamburguesa con salsa BBQ, tocino crujiente, cebolla a la parrilla y queso cheddar.;Hamburguesa;11.99;1
33;Mushroom Swiss Burger;Hamburguesa con champiñones salteados, queso suizo y salsa especial.;Hamburguesa;12.99;1
34;Chicken Avocado Wrap;Wrap de pollo a la parrilla, aguacate, lechuga, tomate y aderezo de cilantro.;Sándwich;9.99;1
35;Onion Rings;Aros de cebolla crujientes y dorados, acompañados de salsa BBQ.;Acompañamiento;4.99;1
36;Avocado Toast;Tostada de pan de centeno con aguacate, huevo pochado y semillas de chía.;Desayuno;9.99;2
37;Greek Salad;Ensalada griega con pepino, tomate, aceitunas kalamata, queso feta y aderezo de limón.;Ensalada;10.99;2
38;Spinach and Feta Omelette;Omelette de espinacas y queso feta, servido con pan tostado.;Desayuno;8.99;2
39;Blueberry Pancakes;Panqueques esponjosos con arándanos frescos y jarabe de arce.;Desayuno;7.99;2
40;Iced Caramel Latte;Latte helado con café espresso, leche, caramelo y hielo.;Café;5.99;3
41;Bagel with Lox;Bagel tostado con salmón ahumado, queso crema, rodajas de pepino y eneldo.;Desayuno;9.99;3
42;Red Velvet Cupcake;Cupcake de terciopelo rojo con crema de queso y decoración de chocolate.;Postre;3.99;3
43;Affogato;Café espresso servido sobre una bola de helado de vainilla.;Postre;6.99;3
44;Carnitas Burrito;Burrito relleno de carne de cerdo deshebrada, frijoles, arroz y salsa verde.;Plato Principal;10.99;4
45;Chorizo Tacos;Tacos de chorizo picante con cebolla, cilantro y salsa de tomate asada.;Taco;4.5;4
46;Guacamole and Chips;Delicioso guacamole casero con totopos de maíz recién hechos.;Aperitivo;6.99;4
47;Mexican Street Corn;Elote asado a la parrilla con mayonesa, queso fresco y chile en polvo.;Aperitivo;5.99;4
48;Caprese Salad;Ensalada caprese con tomates, mozzarella fresca, albahaca y aceite de oliva.;Ensalada;9.99;5
49;Meat Lover's Pizza;Pizza con salsa de tomate, pepperoni, salchicha, tocino y jamón.;Pizza;14.99;5
50;Vegetarian Pizza;Pizza con salsa de tomate, mozzarella, champiñones, pimientos y aceitunas.;Pizza;12.99;5
51;Garlic Bread;Pan de ajo horneado con mantequilla de ajo y espolvoreado con perejil.;Aperitivo;4.99;5
52;BBQ Chicken Wings;Alitas de pollo bañadas en salsa BBQ y servidas con bastones de zanahoria y apio.;Aperitivo;8.99;6
53;Crispy Chicken Salad;Ensalada con pollo crujiente, lechuga mixta, tomate, pepino y aderezo ranch.;Ensalada;9.99;6
54;Spicy Chicken Sandwich;Sándwich de pollo picante con queso pepper jack, jalapeños y salsa de chipotle.;Sándwich;10.99;6
55;Sweet Potato Fries;Bastones de camote crujientes servidos con alioli de cilantro.;Acompañamiento;5.99;6
56;Mushroom Swiss Burger;Hamburguesa con champiñones salteados, queso suizo y salsa especial.;Hamburguesa;12.99;7
57;Bacon Cheese Fries;Papas fritas cubiertas con queso cheddar fundido y tocino crujiente.;Acompañamiento;6.99;7
58;Onion Rings;Aros de cebolla crujientes y dorados, acompañados de salsa de chipotle.;Acompañamiento;4.99;7
59;Oreo Milkshake;Batido cremoso de helado de vainilla con trozos de galleta Oreo.;Bebida;6.99;7
60;Rainbow Roll;Roll de sushi con pescado variado, aguacate y salsa de anguila.;Sushi;15.99;8
61;Tempura Shrimp Roll;Roll de sushi con camarones tempura, aguacate y salsa de anguila.;Sushi;13.99;8
62;Spicy Tuna Roll;Roll de sushi picante con atún, aguacate y pepino.;Sushi;11.99;8
63;Miso Soup;Sopa de miso tradicional con tofu, algas y cebollín.;Sopa;3.99;8
64;Fettuccine Alfredo;Fettuccine con salsa cremosa de queso parmesano.;Pasta;12.99;9
65;Chicken Parmesan;Pechuga de pollo empanizada con salsa marinara y queso derretido, servida sobre espaguetis.;Plato Principal;14.99;9
66;Caprese Salad;Ensalada caprese con tomates frescos, mozzarella y hojas de albahaca.;Ensalada;9.99;9
67;Tiramisu;Postre italiano clásico hecho con bizcochos, café, crema de mascarpone y cacao.;Postre;7.99;9
68;BBQ Chicken Wings;Alitas de pollo bañadas en salsa BBQ y servidas con bastones de apio y zanahoria.;Aperitivo;8.99;10
69;Grilled Chicken Caesar Salad;Ensalada César con pollo a la parrilla, lechuga romana, crutones y aderezo Caesar.;Ensalada;10.99;10
70;Chicken Quesadilla;Quesadilla de pollo con queso cheddar derretido, cebolla y pimientos.;Plato Principal;9.99;10
71;Key Lime Pie;Tarta de lima con una base de galleta y crema de lima.;Postre;6.99;10
